,sst,sst_lag_1d,sst_lag_2d,sst_lag_4d,sst_lag_7d,tp_mm_daily,tp_mm_daily_lag_1d,tp_mm_daily_lag_2d,tp_mm_daily_lag_4d,tp_mm_daily_lag_7d,mhw,mhw_lag_1d,mhw_lag_2d,mhw_lag_4d,mhw_lag_7d,sst_anom,sst_anom_lag_1d,sst_anom_lag_2d,sst_anom_lag_4d,sst_anom_lag_7d,tsm,tsm_lag_1d,tsm_lag_2d,tsm_lag_4d,tsm_lag_7d,chl,land_cov_near,ecoli_2class
8688,12.839996,12.850006,12.709991,12.179993,11.519989,0.0,0.15687943,0.0,0.012874603,0.13589859,0.0,0.0,0.0,0.0,0.0,-0.24789429,-0.08050537,-0.14001465,-0.49105835,-0.8326416,1.899207592010498,2.227341413497925,2.4955637454986572,2.5175042152404785,2.1489808559417725,3.333883762359619,190,Good
33866,19.190002,18.959991,19.190002,19.220001,18.950012,0.23365021,2.603531,2.6812553,9.7332,0.0,0.0,0.0,0.0,0.0,0.0,0.29104614,0.07684326,0.3000183,0.35211182,0.0821228,13.886065483093262,4.3206400871276855,7.95984411239624,4.5920891761779785,1.7604731321334839,5.867753982543945,200,Good
16419,15.070007,15.01001,14.73999,14.48999,14.649994,0.0009536743,0.030994415,0.0,2.3069382,0.0,0.0,0.0,0.0,0.0,0.0,0.7468567,0.7937012,0.56051636,0.4547119,0.8815613,0.5034618973731995,0.5326061248779297,0.6331310868263245,0.46432432532310486,0.5967121124267578,0.8011742830276489,200,Good
43819,17.700012,18.519989,18.529999,17.910004,17.809998,0.3619194,2.254486,0.0,0.060081482,0.42772293,2.0,2.0,2.0,2.0,1.0,1.6384277,2.5057983,2.6157837,2.1452637,2.2521057,1.8926920890808105,2.1965322494506836,7.427935600280762,4.863466739654541,5.9759416580200195,3.776331901550293,190,Caution
36292,12.769989,13.029999,12.910004,12.600006,11.920013,0.19311905,0.012874603,0.0,0.65374374,12.007713,0.0,0.0,1.0,1.0,1.0,1.1357727,1.4757996,1.4479065,1.3189392,0.8963318,2.478719472885132,1.9826520681381226,2.3490593433380127,2.1301300525665283,2.888655185699463,1.9674886465072632,190,Good
80987,19.600006,19.670013,19.579987,19.109985,18.459991,0.16355515,0.024795532,0.0019073486,0.0,5.48172,2.0,2.0,3.0,2.0,2.0,3.171051,3.2937012,3.3036804,2.939972,2.5484314,7.504075527191162,2.1789023876190186,2.0327680110931396,2.136793851852417,2.3027985095977783,4.841155529022217,11,Caution
43150,17.070007,16.859985,16.679993,16.950012,16.399994,0.0,0.0,0.0,0.05340576,0.42247772,1.0,1.0,1.0,1.0,1.0,1.6689453,1.475769,1.2999878,1.6384277,1.4121094,5.111203670501709,2.914381742477417,8.047225952148438,12.245035171508789,8.070642471313477,4.664986610412598,190,Good
32168,17.339996,17.23999,16.98999,16.269989,15.98999,0.0,0.00047683716,0.81062317,0.10108948,1.7352104,2.0,1.0,0.0,0.0,0.0,1.2799988,1.2452393,1.0505066,0.44000244,0.28631592,3.2266132831573486,0.8136119842529297,0.8135312795639038,2.2693119049072266,2.1100316047668457,2.729940414428711,190,Good
53824,17.790009,17.850006,17.859985,18.190002,18.309998,0.25987625,0.0014305115,0.32758713,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.6665039,0.6914978,0.6839905,0.8640137,0.80648804,1.879856824874878,1.375741720199585,3.8250744342803955,2.162038803100586,1.2638704776763916,2.406904458999634,190,Good
75764,17.459991,17.399994,17.359985,16.899994,16.570007,0.24461746,0.0,0.0,0.0,2.5439262,0.0,0.0,0.0,0.0,0.0,0.85839844,0.8562927,0.848938,0.52893066,0.36791992,0.6371321678161621,0.8138550519943237,0.5542970299720764,0.9084596037864685,0.9431195855140686,1.81577730178833,190,Good
